"treeID","Height_m","Point_Count","Crown_Area_m2","Crown_Diameter_m","X","Y"
1910,18.9045,846,24.1555477516958,5.54579107271431,476681.191611857,5429018.15024301
1911,21.2395,13258,62.8894105926156,8.94836770096114,476734.140331971,5429017.56195157
1912,21.079,1771,50.4622400918743,8.01564218268845,476916.127519311,5429017.12393781
1914,26.96575,20918,38.9162856593612,7.03915860282382,476716.373526365,5429016.20715569
1915,32.61475,41209,51.8535516267075,8.12539183461883,476834.324714475,5429016.35276518
1916,21.1325,921,24.4260569048638,5.57675726325111,476904.475884784,5429016.9998476
1917,24.79125,1862,12.7155745931086,4.02367647879096,476936.00593893,5429017.11611242
1918,21.53075,684,11.5089746561716,3.82801275488895,476941.638126204,5429017.2365548
1919,19.6955,805,13.8972180620767,4.20648161750932,476952.525898259,5429017.29053859
1920,11.07,568,13.1513019715931,4.09203589121427,476672.599295358,5429016.48670423
1921,15.08475,681,18.3842030004598,4.83812921061688,476677.451573058,5429017.25482939
1922,29.0845,2248,21.4948094986612,5.23144735806874,476894.427876535,5429016.64978138
1923,29.517,228,13.9141229071247,4.20903926278391,476975.555623125,5429016.98669764
1924,4.882,313,26.6233325603826,5.8221885772031,476988.232300879,5429017.46436383
1925,25.9055,2254,25.4434167490108,5.69171014353485,476696.842541194,5429016.99025609
1926,38.2965,80328,65.3881983447354,9.12440901601323,476770.219849762,5429016.51909794
1927,32.459,32317,58.4529297502013,8.62696827765019,476840.070383119,5429015.27630882
1928,27.317,6045,30.7427898416645,6.25643155016417,476701.886196481,5429016.18686329
1929,18.39075,956,12.7641901256866,4.03136101391853,476880.46352406,5429015.73393052
1930,22.42775,2415,31.0252823447809,6.28511068859958,476899.592543585,5429016.15560212
1931,25.9775,839,13.2984129997203,4.11485908792319,476909.810660902,5429015.38904138
1933,40.8525,21799,64.5800860016607,9.06785086443927,476860.548064366,5429015.00721423
1934,28.32,11374,55.8740429704776,8.43451486656132,476868.423167413,5429015.97502146
1935,25.21425,1674,27.3589523429982,5.90207590815554,476876.513254418,5429016.46922752
1936,22.11275,534,31.1810563438339,6.30086930380123,476888.966274703,5429014.95968902
1937,32.134,3150,20.8402352201228,5.15117574965589,476925.599001575,5429015.62470515
1938,21.931,324,11.3248092191061,3.79726150460397,476939.510327904,5429015.00374692
1942,39.64075,23762,36.1382938739844,6.7832665316658,476806.579040852,5429014.1916944
1943,37.719,86232,72.6162891903077,9.61550471837149,476826.193708382,5429014.85334123
1944,14.16875,1803,25.2964490941667,5.67524795300374,476952.113783733,5429013.3954491
1946,8.456,333,37.7305629680632,6.93109261343824,476670.482382382,5429013.10363241
1947,18.962,22143,64.130189934629,9.03621014785217,476793.643759058,5429014.66636987
1948,29.41475,18084,34.6006996866054,6.63739249378033,476812.374676588,5429014.41601453
1950,18.616,3387,40.6339571869466,7.1928270623932,476681.834224744,5429012.39599859
1951,30.94075,47232,45.0008583438103,7.56946975622233,476752.496773789,5429014.20202236
1952,21.21725,1799,23.3823990941164,5.45631699751844,476885.247780998,5429014.02973109
1953,28.31725,18942,53.6431361532304,8.2644154211841,476847.134554929,5429013.5643351
1954,26.655,2813,29.2731410003034,6.10505697927502,476872.407466949,5429014.31048837
1955,29.062,2277,18.1029350325989,4.8009762298179,476895.138683038,5429013.21188131
1956,23.50875,1024,37.3280159697752,6.89401958651289,476915.312592317,5429012.8313875
1957,25.6605,2439,27.2984696871135,5.89554841523561,476907.065361155,5429012.13034695
1959,16.508,1297,24.5951724675251,5.59602950271302,476676.464524807,5429011.43342768
1960,26.13025,7860,42.9655882203951,7.39631570344414,476704.585197176,5429012.73333978
1961,28.496,37173,65.2598317186348,9.11544833932637,476727.988436028,5429012.18383841
1962,19.943,9918,31.1203285012016,6.29473056555073,476785.807453078,5429012.11019234
1963,41.46875,26001,29.6176466256147,6.14087606988812,476804.291358154,5429011.80727472
1964,28.378,2686,13.2276508754876,4.10389670662183,476891.674331325,5429012.00669545
1967,6.61475,305,41.5768693434366,7.27580333670108,476965.28244102,5429011.67552687
1968,37.035,37057,49.1884031248628,7.91382461272361,476776.164490065,5429011.52118177
1969,10.98725,3848,19.3663174365647,4.96567832185375,476880.478216544,5429011.70064873
1970,23.988,1406,14.6254719680874,4.31529017218824,476938.296479684,5429011.27144577
1971,6.67025,298,24.6823191230651,5.60593478050355,476959.550256516,5429013.47868778
1973,20.7765,14410,47.1565248144325,7.74864841027262,476781.156364309,5429012.11206463
1974,18.45975,1225,35.0657088127045,6.68184458996943,476874.78101312,5429010.31862121
1975,29.061,1415,13.7563512506604,4.18510817107608,476912.575650472,5429011.22978971
1976,21.94775,1133,28.9400582509115,6.07022459156164,476927.849031053,5429012.25194796
1979,24.502,8559,45.038161782315,7.57260646035586,476715.256908038,5429011.19069815
1980,25.65625,14335,49.4677840310615,7.93626731018846,476722.412558985,5429010.72884752
1981,28.86025,14159,38.6809373786673,7.0178414842417,476740.330515175,5429011.98496865
1982,35.2295,20641,38.5873072840623,7.00934273373155,476813.75012448,5429010.92356475
1984,31.759,20768,39.84500165598,7.12265622983672,476753.779171545,5429010.78807488
1985,24.93575,695,17.0685568747576,4.66179810636439,476899.450132267,5429010.67960279
1986,21.5795,14464,30.3386100947391,6.21516838910445,476788.834860018,5429009.89328317
1987,28.25475,3557,32.6667431879323,6.44923167707467,476886.575998672,5429009.36955771
1988,28.49225,1760,32.5555208129808,6.43824327736502,476923.476485627,5429010.35856184
1989,18.917,2279,44.6357510294765,7.53870037338551,476700.467486845,5429008.98072199
1990,38.1645,16030,53.3169422509382,8.23924992206545,476853.668918682,5429009.83490972
1991,25.101,1596,38.8892892192162,7.03671662784205,476894.21822782,5429008.62144532
1992,26.1125,24337,45.4390108130174,7.60623069863006,476744.926176168,5429009.70245331
1993,35.704,41568,45.5383329059696,7.6145391362311,476795.072447274,5429008.02822747
1994,34.2285,54486,59.2704135274398,8.68708434032629,476802.515963037,5429007.8543535
1995,26.047,338,11.7711864376906,3.87137444080496,476967.498949626,5429008.69225481
1996,12.899,330,17.7994036255404,4.76055716998972,476979.45346234,5429008.62056345
1997,15.55275,946,14.9784679689619,4.36705595769407,476697.501609447,5429008.22168965
1998,28.72125,10194,26.6281110922573,5.82271105622313,476710.153705987,5429008.3872716
1999,28.08825,21150,42.2904761261307,7.33797700796806,476735.449876796,5429009.38652334
2000,25.921,4717,31.2650993756251,6.30935503004234,476867.095371907,5429008.9832304
2001,24.24925,960,13.6748276871513,4.17268874692569,476871.672928178,5429007.83763977
2004,23.4705,269,29.1290300620603,6.09001091746103,476656.559699793,5429008.98708818
2005,9.52275,506,24.3052782221057,5.56295257737969,476692.524216368,5429007.25418079
2006,34.9135,8952,65.8482516866643,9.15645116839132,476858.749156957,5429007.28842923
2007,26.05825,323,12.7677895951783,4.03192939068124,476909.718928635,5429007.8410412
2008,16.68575,920,29.0370437816018,6.08038752095141,476940.681407279,5429008.52970286
2009,20.6625,1941,52.9064095625654,8.20746811294523,476668.360819981,5429007.12552849
2010,31.44775,25582,34.5669626893941,6.63415584965574,476751.051435794,5429006.42493374
2011,39.3645,33672,60.4709392501973,8.77462199531289,476827.161419159,5429007.38032034
2013,26.00875,715,16.652729498921,4.60466217282049,476673.031211823,5429006.7774014
2014,22.7975,7492,25.8588614055188,5.73798962384322,476741.820319013,5429005.60387357
2015,32.83325,69196,59.3829315935727,8.6953261461109,476760.840129569,5429007.04998686
2016,41.879,67968,58.8720735593233,8.65784338829756,476812.163596357,5429006.01281769
2017,24.53425,17694,53.7223445621203,8.27051470782681,476848.093560823,5429006.61372052
2018,18.9425,3170,29.0850199689739,6.08540857986623,476882.204638822,5429006.24707411
2019,29.978,357,16.8177044690819,4.62741465417834,476927.126720033,5429007.17368776
2020,24.34925,3515,21.8585329375928,5.27552353099095,476706.003591921,5429007.85742204
2021,25.946,1246,18.9104815315222,4.90689034887861,476878.147409203,5429006.79820208
2022,12.01275,8828,69.3870629989542,9.39927404129162,476717.907032424,5429004.96448446
2023,30.662,2991,32.8798577808775,6.47023455153531,476888.702154993,5429004.89348038
2024,29.17625,787,18.808586843079,4.89365267966512,476904.499381603,5429004.53334437
2025,11.91225,642,29.4000145355822,6.11827272377522,476695.391124901,5429004.7908361
2026,22.518,10811,32.8936758751515,6.47159399962204,476731.145547669,5429005.86953909
2027,32.07375,33901,34.6029980919557,6.63761293968497,476755.740575337,5429004.87853603
2028,20.72175,15650,36.7732910620107,6.84260245595257,476782.189090537,5429005.49415594
2029,38.49975,31476,54.21554993873,8.30839227056324,476821.611381126,5429005.14538008
2030,24.05075,4965,35.875174092158,6.75852723072075,476864.925452313,5429005.77965719
2031,29.20475,2603,54.4832141215447,8.32887643946193,476900.61319556,5429004.92027166
2032,29.4125,462,15.2765897831414,4.41030137525689,476921.99675236,5429004.65802261
2034,17.631,221,11.6193761561299,3.84632931600213,476975.93760277,5429005.71182616
2036,18.4205,1720,60.4099481573794,8.77019582959107,476682.266610242,5429004.57152423
2037,26.02325,1492,23.6489932191907,5.48733390271153,476709.114389407,5429004.82334679
2038,30.1865,29892,60.3249615314417,8.76402456388953,476773.878090348,5429005.49721892
2039,34.6085,44787,57.2967991583137,8.54122652053634,476788.795019986,5429003.74829158
2040,26.42975,3166,22.4716126574203,5.34899484664164,476874.166528046,5429004.55555801
2041,25.841,804,27.6290010606172,5.93113283714903,476911.364400653,5429004.2609768
2042,6.7415,251,22.7406298433198,5.38091713267351,476966.605899335,5429006.1385872
2044,10.03025,2529,31.51489337557,6.33450933331761,476723.425225799,5429004.79084653
2045,28.968,21997,38.6818932183669,7.01792819219801,476747.495199931,5429003.40629981
2046,30.0915,1479,22.6368516249058,5.36862502482084,476917.423160605,5429003.87100395
2047,10.8495,354,11.6224004690011,3.84682984831416,476941.988033595,5429004.4228049
2048,22.683,9305,27.0484129392426,5.86848438496431,476736.608795281,5429003.70960651
2049,33.6095,3300,21.7258125320368,5.25948321199831,476885.131718641,5429003.06965952
2051,17.966,686,11.9468158435775,3.90014850559712,476945.045819622,5429002.90923013
2052,16.659,17220,59.823458718718,8.72751931212434,476833.969028501,5429003.49326297
2053,24.6345,2170,41.5757673748303,7.27570691578104,476878.556973269,5429001.66859946
2054,8.58125,277,45.128005345352,7.58015573591479,476663.496665324,5429002.11031549
2055,24.51525,3005,48.3978195632808,7.84996928318361,476677.074920416,5429001.67258261
2056,13.32525,1870,26.5792733739363,5.81736898692374,476701.234373793,5429002.69680596
2058,13.0695,461,18.0453079377767,4.79332866214081,476939.74308974,5429003.29482494
2059,7.1565,426,22.6367901867488,5.3686177393852,476955.501208134,5429002.79048055
2060,31.882,44422,59.2519330907962,8.68572992403078,476806.876391395,5429001.82374642
2061,32.59725,6377,27.8473870297894,5.95452721749367,476867.144331853,5429001.70528225
2062,14.813,468,23.0698129379307,5.41972306693029,476928.56329865,5429002.20524518
2063,9.9665,535,14.7475927496562,4.33326877524483,476952.65173955,5429001.80383736
2065,13.53725,1715,22.757572499977,5.38292125607909,476697.16918177,5429000.01113506
2066,19.66075,6534,23.0627973120281,5.41889892412527,476732.171167596,5429000.67426023
2067,29.17525,49063,66.3129289696226,9.18870194811745,476767.004914813,5429001.20821127
2068,11.52075,2531,34.586619220092,6.63604184056417,476691.256744666,5429001.11651242
2069,21.8185,4590,37.6606726271566,6.92467022104453,476726.622480607,5429001.34614886
2070,10.06175,9050,61.0154524366371,8.81403919223382,476743.524050243,5428999.85335299
